,State_Name,County_Name,"Mining, quarrying, and oil and gas extraction"
567,Pennsylvania,Clinton,1142874.0
568,North Carolina,Rowan,1130784.0
569,Oklahoma,Lincoln,1128690.0
570,Indiana,Hamilton,1128021.0
571,Texas,Clay,1125436.0
572,Kansas,Barber,1119717.0
573,Michigan,Otsego,1119196.0
574,Louisiana,St. Martin,1117933.0
575,Ohio,Trumbull,1117358.0
576,New York,Erie,1109571.0
577,Florida,Lake,1106197.0
578,Georgia,DeKalb,1105072.0
579,California,Santa Clara,1101310.0
580,Louisiana,St. Landry,1100040.0
581,Tennessee,Smith,1095293.0
582,Alabama,Fayette,1092679.0
583,Ohio,Franklin,1087552.0
584,Washington,Pend Oreille,1081820.0
585,North Carolina,Guilford,1080286.0
586,Louisiana,Vernon,1078957.0
587,California,San Luis Obispo,1078732.0
588,Wisconsin,Fond du Lac,1064892.0
589,Pennsylvania,Beaver,1064113.0
590,Massachusetts,Worcester,1061091.0
591,Michigan,Kalkaska,1059461.0
592,Montana,Roosevelt,1052782.0
593,Oklahoma,Johnston,1044711.0
594,Michigan,Oakland,1043109.0
595,Oregon,Marion,1042240.0
596,California,Sutter,1041134.0
597,North Dakota,Bottineau,1040711.0
598,Kentucky,Fayette,1040670.0
599,Nevada,Lyon,1035006.0
600,Wisconsin,Outagamie,1032368.0
601,Louisiana,Franklin,1031879.0
602,Texas,San Jacinto,1028815.0
603,New Mexico,Colfax,1028583.0
604,Kansas,Kearny,1027479.0
605,Texas,Cass,1027005.0
606,Louisiana,Livingston,1022405.0
607,West Virginia,Greenbrier,1022156.0
608,Texas,Navarro,1019079.0
609,Utah,Washington,1014928.0
610,Oklahoma,Alfalfa,1011371.0
611,Wisconsin,Dane,1009991.0
612,Texas,Bastrop,1004136.0
613,Washington,Snohomish,1000817.0
614,South Dakota,Lawrence,997248.0
615,Kansas,Russell,997056.0
616,Kentucky,Magoffin,994772.0
617,Indiana,Vigo,985234.0
618,West Virginia,Preston,980506.0
619,Washington,Pierce,980058.0
620,Illinois,Washington,978052.0
621,Wisconsin,Monroe,976252.0
622,Florida,Santa Rosa,976005.0
623,South Carolina,Spartanburg,975919.0
624,Illinois,Lawrence,973508.0
625,Illinois,Lake,972404.0
626,New York,Dutchess,966661.0
627,Oregon,Lane,961592.0
628,North Dakota,Billings,950090.0
629,Arkansas,Union,949666.0
630,Colorado,Huerfano,941155.0
631,Michigan,Schoolcraft,940406.0
632,Tennessee,Campbell,937539.0
633,West Virginia,Brooke,936658.0
634,Virginia,Lee,936391.0
635,Illinois,DuPage,934240.0
636,Oklahoma,Pawnee,933615.0
637,Texas,Haskell,931759.0
638,Georgia,Sumter,930156.0
639,Minnesota,Le Sueur,926332.0
640,Tennessee,Weakley,924703.0
641,Pennsylvania,Fulton,923238.0
642,Mississippi,Madison,914171.0
643,California,Shasta,913090.0
644,Pennsylvania,Warren,912312.0
645,North Dakota,Burke,911668.0
646,Colorado,Morgan,908594.0
647,Maryland,Allegany,905728.0
648,Texas,Lamb,905073.0
649,Ohio,Coshocton,903733.0
650,Florida,Hernando,903146.0
651,New Hampshire,Merrimack,899609.0
652,Utah,Millard,898367.0
653,Kansas,Morton,896642.0
654,Pennsylvania,Montgomery,894694.0
655,Michigan,Grand Traverse,893865.0
656,Texas,Marion,891295.0
657,Pennsylvania,Blair,890673.0
658,Ohio,Meigs,885329.0
659,Texas,Ellis,885216.0
660,Kansas,Ness,883312.0
661,Louisiana,Allen,881874.0
662,Georgia,Gwinnett,879508.0
663,Alaska,Yukon-Koyukuk,877455.0
664,Indiana,Lake,875078.0
665,Oklahoma,Blaine,874880.0
666,Pennsylvania,Centre,874125.0
667,Wisconsin,Jackson,872691.0
668,Iowa,Winneshiek,871449.0
669,Louisiana,St. John the Baptist,870730.0
670,Wisconsin,Rock,868583.0
671,Oklahoma,Haskell,865960.0
672,Texas,Oldham,865008.0
673,Arkansas,Crawford,864930.0
674,Illinois,Adams,863456.0
675,Ohio,Summit,862473.0
676,Louisiana,Concordia,860939.0
677,Michigan,Isabella,849633.0
678,Tennessee,Cumberland,848813.0
679,Missouri,St. Louis city,846815.0
680,New Jersey,Cumberland,844154.0
681,Texas,Concho,843978.0
682,Montana,Flathead,839209.0
683,Illinois,Hamilton,838839.0
684,Nebraska,Cass,833549.0
685,Texas,Medina,832592.0
686,New York,Chautauqua,831558.0
687,Oklahoma,Caddo,831080.0
688,Washington,Clark,830316.0
689,California,Colusa,829846.0
690,Mississippi,Lincoln,829718.0
691,New Mexico,Sandoval,828618.0
692,Michigan,Berrien,824347.0
693,Kansas,Harper,824330.0
694,Colorado,Lake,819748.0
695,South Carolina,Richland,819088.0
696,Washington,Cowlitz,818313.0
697,Ohio,Ottawa,816993.0
698,South Carolina,Lancaster,815467.0
699,Texas,Bell,813546.0
700,New York,Albany,807996.0
701,Kentucky,Jefferson,805620.0
702,Louisiana,Ouachita,800898.0
703,Wyoming,Washakie,787023.0
704,Wyoming,Weston,786912.0
705,Pennsylvania,Adams,784717.0
706,Wisconsin,Calumet,783581.0
707,Texas,Knox,782951.0
708,Kentucky,Warren,781461.0
709,Iowa,Polk,780308.0
710,Kansas,Rooks,778167.0
711,Maryland,Cecil,776499.0
712,South Carolina,Lexington,774102.0
713,South Carolina,Aiken,773733.0
714,Kansas,Pratt,772372.0
715,Kansas,Neosho,772036.0
716,Kentucky,Laurel,769104.0
717,Kansas,Jefferson,768055.0
718,North Carolina,Richmond,767620.0
719,Oklahoma,Mayes,766533.0
720,Texas,Cottle,766244.0
721,Wisconsin,Marinette,765753.0
722,Oklahoma,Murray,765713.0
